Grid Position,left,right,forward,backward,up,down
"0,0,0",-0.6084516859245537,-0.6043836747088152,-0.4042384198804081,-0.5839292522795632,-0.5859654925090315,-0.5809632856775773
"0,0,1",-0.5553865044451538,-0.5297096060250265,-0.2183327825556113,-0.5341095068752648,-0.5665299753524443,-0.5305752958595805
"0,0,2",-0.409794591394676,-0.4085708628324383,-0.09916085938339111,-0.41975541575905523,-0.4000882267291009,-0.38187669149526476
"0,0,3",-0.3440621130692382,-0.04571612340442409,-0.3655300209737201,-0.35333690745057483,-0.3530515941548245,-0.3484272232591187
"0,1,0",-0.4909556162723957,-0.48370500673233663,-0.3844314963217307,-0.4799251979390181,-0.5101518429160317,-0.503187125840862
"0,1,1",-0.42271655168799394,-0.4324256353801994,-0.4284429151051282,-0.43173285616483553,-0.1017220967200139,-0.4280298375496305
"0,1,2",-0.28455212882747527,0.04331576204595024,-0.3104778193538631,-0.35402131560457456,-0.2972753566507827,-0.2741621994486622
"0,1,3",-0.2957143659093143,-0.251173207866831,-0.2134907725526005,-0.2508575475272974,0.0005445724658367165,-0.2502069861228544
"0,2,0",-0.39455267996813465,-0.1523154066787485,-0.3370769695088746,-0.357909548447243,-0.4062880058606319,-0.3695383568992757
"0,2,1",-0.24272685486212664,-0.2468812801705883,-0.035063850074557035,-0.23280362463695015,-0.28243472939497183,-0.2559056507995341
"0,2,2",-0.20893688198447108,0.17393958775912635,-0.17816022385739178,-0.23046158856761345,-0.21663034372183626,-0.18897826714624003
"0,2,3",-0.22748145680322818,-0.14164047598631607,-0.1763902127896242,-0.12707200000000002,0.34017311563661723,-0.156216448
"0,3,0",-0.2595315877598687,-0.2882143645912761,-0.26003051884490386,-0.29562638712233186,0.03202767819398472,-0.30068259668109076
"0,3,1",-0.23654857617481714,-0.21263525291008,0.045581071415399486,-0.267955735924615,-0.2025277293799196,-0.20921924593782784
"0,3,2",-0.16811934026999947,-0.12941298740224,0.29449658876187135,-0.17435711448064,-0.15704938302885962,-0.11889873978871629
"0,3,3",-0.14449890862336254,-0.13386304000000002,-0.16542783026937857,-0.13460198809600002,0.4760765910893172,-0.11001664000000001
"1,0,0",-0.5092134697342945,-0.2141867624845536,-0.5108931510674383,-0.5135416389343259,-0.485618116164912,-0.49273571440634795
"1,0,1",-0.3877712716392868,-0.37078709083799044,-0.3632414137224712,-0.3809905452647935,-0.042648041909836856,-0.3694055859724118
"1,0,2",-0.31941692082726114,-0.2978245583787411,-0.28375821195340384,-0.31083833701768776,0.1308131725029062,-0.28224006439775756
"1,0,3",-0.2746962564218959,-0.29131430401034336,-0.2819023955866313,-0.26951221152395577,0.10021484966933127,-0.34208601760508034
"1,1,0",-0.3848865085703747,-0.40818103769252206,-0.4168820575107949,-0.4037539015935774,-0.08632716258634081,-0.37888818411744224
"1,1,1",-0.30137899733851314,-0.2886048941161866,-0.01772810418263157,-0.29363473861640704,-0.26207264955081927,-0.29048879783827086
"1,1,2",-0.26456277825455643,0.086667507627008,-0.14034835732986123,-0.18663078605824002,-0.15243760360556918,-0.23702997278937343
"1,1,3",-0.10408405011159608,0.22598455926635394,-0.152795008,-0.13068767760693953,-0.14612701089929175,-0.18376982272
"1,2,0",-0.2977367161776996,-0.25953178568884394,-0.18538649321014733,-0.29730999896937493,-0.2540590539855554,-0.32688969887539654
"1,2,1",-0.2012065422628021,-0.027546084255557268,-0.2398758104194616,-0.22959826053269056,-0.24276480134269712,-0.22075885652853244
"1,2,2",-0.169764811264,-0.160747264,-0.09824787328034301,-0.1908288031123163,0.3306421544976704,-0.17352713787043222
"1,2,3",-0.011622096940534468,0.1708102652251112,-0.103744,-0.0936064,0.6410189335583828,-0.01448030668597658
"1,3,0",-0.25039785969356604,-0.22627508697122406,-0.2417272996814268,-0.21673232933186964,0.26936371262791037,-0.24438412278002486
"1,3,1",-0.1538756356096,-0.12433352305254401,-0.180102455916544,-0.15641945344,0.3307373276913077,-0.18255332454400003
"1,3,2",-0.10231774800370737,-0.10640800248537184,0.42846411414996266,-0.1094464,-0.15518920384377338,-0.11952064000000001
"1,3,3",-0.11507058740224001,0.08452802747432962,0.19000449632748204,0.16839669486491943,0.7695863957545399,-0.09116658740224001
"2,0,0",-0.3841420616099389,-0.3427950315469581,-0.18649550657822828,-0.35627615167640697,-0.32232822584042425,-0.4070193329283326
"2,0,1",-0.211530330339328,0.06462791271635922,-0.252493871691617,-0.24314052374587214,-0.2641187097152756,-0.2711957716999309
"2,0,2",-0.2392668486441543,-0.20601798280328826,-0.22591147146512908,-0.20797779940780764,0.26752324961988594,-0.2729994683001201
"2,0,3",-0.15761405440000004,-0.17167890580040127,-0.166221568,-0.19555936942075378,0.20452642582658648,-0.16708003840000002
"2,1,0",-0.2623314382662449,-0.2782500044621363,-0.2664599825734456,-0.26927304316292844,0.10469523804570166,-0.34640212816033455
"2,1,1",-0.11356211242905849,-0.1492200539314602,-0.1486867177367652,-0.20283584365158402,0.1637701531462436,-0.19011323016014986
"2,1,2",-0.15005241932927502,0.3886460357116538,-0.1633522153248947,-0.1676884903198098,-0.17982477120734247,-0.18791927206927042
"2,1,3",-0.07631673749031438,-0.10837088089410765,-0.08567871505087651,-0.10351972979058371,0.3275119512669173,-0.14641344398080153
"2,2,0",-0.23494291029762715,0.2562093730771893,-0.21708840841436852,-0.2674814722619009,-0.21747438922629758,-0.21202241005158404
"2,2,1",-0.17145873833107284,-0.17007518388686227,-0.16324844866661065,-0.14468861440000003,0.23059419696286193,-0.09269937563405894
"2,2,2",-0.12617071449698564,0.22693187899169465,0.029430032108147833,-0.09328679416236116,0.601767148338052,-0.037718102743966364
"2,2,3",0.34020189876586027,0.8429078211977464,0.2980409470838268,-0.10123881771092612,-0.04000000000000001,-0.05584
"2,3,0",-0.17388331264,-0.14332902400000003,0.005526886263603412,-0.15033460036494228,0.3506130997846598,-0.19843497263445173
"2,3,1",-0.08540146524556796,-0.09561664,-0.10527283757151047,0.06113122772790061,0.3765707491813526,-0.10512064000000002
"2,3,2",0.08660367385280347,-0.14139020800000002,-0.03577258183406295,-0.09884799999999999,0.6385336124952967,0.030911350591985125
"2,3,3",-0.03757396326400001,-0.053342280856747123,0.026465486335999988,0.16485706991147273,0.9517664944886545,-0.043898218428375047
"3,0,0",-0.2805159970761029,-0.2945151198015149,0.004285819094809511,-0.2841505023876393,-0.2605731618770699,-0.27632170174963766
"3,0,1",-0.1670002960384,0.30145738889404583,-0.16495173322915033,-0.20804438181051105,-0.17658779097456645,-0.15989934075904
"3,0,2",-0.11895040000000001,0.41271173707635556,-0.19217060881859643,-0.117568,-0.10443966329375133,-0.0893251928937513
"3,0,3",-0.11952064000000001,0.4194149475629768,-0.124333523052544,-0.15820710400000002,-0.14739027408468097,-0.13001311345254402
"3,1,0",-0.2094671967847041,-0.23077179674214404,0.15157493419893864,-0.1982329687501017,-0.21294363090534402,-0.10315780232336583
"3,1,1",0.0353952276189977,0.3247307403944192,0.06443484614696542,0.03401619295140406,0.033978602125874516,-0.17136443071522173
"3,1,2",-0.04274716538375971,0.5384436923694957,0.14385895500982487,0.16054534901773632,-0.04494790925975301,-0.078355077607582
"3,1,3",-0.15784745749060128,0.6544358829294531,0.018017966220461396,-0.10163837440000001,0.19038086671032345,0.10191475565210485
"3,2,0",-0.17660923402240003,0.3655050250656523,-0.19573303335952386,-0.161348898304,-0.15084113766400004,-0.16867836752106152
"3,2,1",0.07153663268048292,0.11929900681558572,0.541491976770416,-0.11154040946480745,0.11553703302717665,-0.062323147379434785
"3,2,2",0.08028108402607659,0.7189731106081145,0.3967906853621155,0.3337004825149103,0.3861652277665578,0.357350972734865
